060MD   -60   60  mbar  2000   850   3500  1000  10000
100MD  -100  100  mbar  4000  1400   7000  2500  10000
160MD  -160  160  mbar  4000  1400   7000  2500  10000
250MD  -250  250  mbar  4000  1400   7000  2500  10000
400MD  -400  400  mbar  6000  2000  19000  4000  10000
600MD  -600  600  mbar  6000  2000  19000  4000  10000
001BD    -1    1   bar    17     4     19     8     17
1.6BD  -1.6  1.6   bar    17     8     19    16     17
2.5BD  -2.5  2.5   bar    17     8     19    16     17
004BD  -4.0  4.0   bar    17    16     19    19     17
060MG     0   60  mbar  2000     —   3500     —   5500
100MG     0  100  mbar  2000     —   3500     —  10000
160MG     0  160  mbar  2000     —   3500     —  10000
250MG     0  250  mbar  4000     —   7000     —  10000
400MG     0  400  mbar  6000     —  19000     —  10000
600MG     0  600  mbar  6000     —  19000     —  10000
001BG     0    1   bar    17     —     19     —     17
1.6BG     0  1.6   bar    17     —     19     —     17
2.5BG     0  2.5   bar    17     —     19     —     17
004BG     0    4   bar    17     —     19     —     17
006BG     0    6   bar    17     —     19     —     17
010BG     0   10   bar    17     —     19     —     17
006KD    -6    6   kPa   200    85    350   100   1000
010KD   -10   10   kPa   400   140    700   250   1000
016KD   -16   16   kPa   400   140    700   250   1000
025KD   -25   25   kPa   400   140    700   250   1000
040KD   -40   40   kPa   600   200   1900   400   1000
060KD   -60   60   kPa   600   200   1900   400   1000
100KD  -100  100   kPa  1700   400   1900   800   1700
160KD  -160  160   kPa  1700   800   1900  1600   1700
250KD  -250  250   kPa  1700   800   1900  1600   1700
400KD  -400  400   kPa  1700  1600   1900  1900   1700
006KG     0    6   kPa   200     —    350     —    550
010KG     0   10   kPa   200     —    350     —   1000
016KG     0   16   kPa   200     —    350     —   1000
025KG     0   25   kPa   400     —    700     —   1000
040KG     0   40   kPa   600     —   1900     —   1000
060KG     0   60   kPa   600     —   1900     —   1000
100KG     0  100   kPa  1700     —   1900     —   1700
160KG     0  160   kPa  1700     —   1900     —   1700
250KG     0  250   kPa  1700     —   1900     —   1700
400KG     0  400   kPa  1700     —   1900     —   1700
600KG     0  600   kPa  1700     —   1900     —   1700
001GG     0    1   MPa   1.7     —    1.9     —    1.7
001PD    -1    1   psi    30    10     50    15    150
005PD    -5    5   psi    90    30    275    40    150
015PD   -15   15   psi   250    60    275   120    250
030PD   -30   30   psi   250   120    275   240    250
060PD   -60   60   psi   250   250    275   275    250
001PG     0    1   psi    30     —     50     —    150
005PG     0    5   psi    90     —    275     —    150
015PG     0   15   psi   250     —    275     —    250
030PG     0   30   psi   250     —    275     —    250
060PG     0   60   psi   250     —    275     —    250
100PG     0  100   psi   250     —    275     —    250
150PG     0  150   psi   250     —    275     —    250
